Poll,Date,Sample,MoE,Clinton (D),Trump (R),Spread,Date_start,Date_end
LA Times/USC TrackingLA Times,10/19 - 10/25,3145 LV,4.5,44.0,45.0,Trump +1,2016-10-19,2016-10-25
Reuters/IpsosReuters,10/20 - 10/24,1170 LV,3.3,43.0,37.0,Clinton +6,2016-10-20,2016-10-24
ABC News TrackingABC News Tracking,10/20 - 10/23,611 LV,4.5,53.0,41.0,Clinton +12,2016-10-20,2016-10-23
IBD/TIPP TrackingIBD/TIPP Tracking,10/20 - 10/25,921 LV,3.3,43.0,41.0,Clinton +2,2016-10-20,2016-10-25
Pew ResearchPew,10/20 - 10/25,2120 RV,2.4,50.0,43.0,Clinton +7,2016-10-20,2016-10-25
CNN/ORCCNN/ORC,10/20 - 10/23,779 LV,3.5,51.0,45.0,Clinton +6,2016-10-20,2016-10-23
GravisGravis,10/20 - 10/23,2109 RV,2.1,50.0,50.0,Tie,2016-10-20,2016-10-23
USA Today/SuffolkUSA Today,10/20 - 10/24,1000 LV,3.0,49.0,39.0,Clinton +10,2016-10-20,2016-10-24
Associated Press-GfKAP-GfK,10/20 - 10/24,1212 LV,--,54.0,41.0,Clinton +13,2016-10-20,2016-10-24
ABC News TrackingABC News Tracking,10/21 - 10/24,1119 LV,3.0,51.0,43.0,Clinton +8,2016-10-21,2016-10-24
CNBCCNBC,10/21 - 10/24,LV,--,47.0,37.0,Clinton +10,2016-10-21,2016-10-24
FOX NewsFOX News,10/22 - 10/25,1221 LV,2.5,49.0,44.0,Clinton +5,2016-10-22,2016-10-25
Economist/YouGovYouGov,10/22 - 10/26,1209 LV,3.3,49.0,46.0,Clinton +3,2016-10-22,2016-10-26
LA Times/USC TrackingLA Times,10/22 - 10/28,3248 LV,4.5,44.0,46.0,Trump +2,2016-10-22,2016-10-28
ABC/Wash Post TrackingABC/WP Tracking,10/23 - 10/26,1109 LV,3.0,50.0,45.0,Clinton +5,2016-10-23,2016-10-26
NBC News/SMNBC News,10/24 - 10/30,40816 LV,1.0,51.0,44.0,Clinton +7,2016-10-24,2016-10-30
IBD/TIPP TrackingIBD/TIPP Tracking,10/25 - 10/30,1013 LV,3.3,45.0,43.0,Clinton +2,2016-10-25,2016-10-30
LA Times/USC TrackingLA Times,10/25 - 10/31,3145 LV,4.5,43.0,47.0,Trump +4,2016-10-25,2016-10-31
ABC/Wash Post TrackingABC/WP Tracking,10/27 - 10/30,1128 LV,3.0,48.0,47.0,Clinton +1,2016-10-27,2016-10-30
CBS News/NY TimesCBS/NYT,10/28 - 11/1,1333 LV,3.0,47.0,44.0,Clinton +3,2016-10-28,2016-11-01
Reuters/IpsosReuters,10/29 - 11/2,1858 LV,2.6,45.0,39.0,Clinton +6,2016-10-29,2016-11-02
Economist/YouGovYouGov,10/30 - 11/1,1233 LV,3.2,48.0,45.0,Clinton +3,2016-10-30,2016-11-01
Reuters/IpsosReuters,10/30 - 11/3,2021 LV,2.5,44.0,39.0,Clinton +5,2016-10-30,2016-11-03
GravisGravis,10/31 - 10/31,5360 RV,1.3,50.0,50.0,Tie,2016-10-31,2016-10-31
Reuters/IpsosReuters,10/31 - 11/4,2244 LV,2.2,44.0,40.0,Clinton +4,2016-10-31,2016-11-04
NBC News/SMNBC News,10/31 - 11/6,30145 LV,1.0,51.0,44.0,Clinton +7,2016-10-31,2016-11-06
McClatchy/MaristMcClatchy,11/1 - 11/3,940 LV,3.2,46.0,44.0,Clinton +2,2016-11-01,2016-11-03
LA Times/USC TrackingLA Times,11/1 - 11/7,2935 LV,4.5,44.0,47.0,Trump +3,2016-11-01,2016-11-07
RCP Average,11/1 - 11/7,--,--,46.8,43.6,Clinton +3.2,2016-11-01,2016-11-07
FOX NewsFOX News,11/1 - 11/3,1107 LV,3.0,46.0,45.0,Clinton +1,2016-11-01,2016-11-03
Reuters/IpsosReuters,11/2 - 11/6,2196 LV,2.3,44.0,39.0,Clinton +5,2016-11-02,2016-11-06
CBS NewsCBS News,11/2 - 11/6,1426 LV,3.0,47.0,43.0,Clinton +4,2016-11-02,2016-11-06
NBC News/Wall St. JrnlNBC/WSJ,11/3 - 11/5,1282 LV,2.7,48.0,43.0,Clinton +5,2016-11-03,2016-11-05
MonmouthMonmouth,11/3 - 11/6,748 LV,3.6,50.0,44.0,Clinton +6,2016-11-03,2016-11-06
ABC/Wash Post TrackingABC/WP Tracking,11/3 - 11/6,2220 LV,2.5,49.0,46.0,Clinton +3,2016-11-03,2016-11-06
FOX NewsFOX News,11/3 - 11/6,1295 LV,2.5,48.0,44.0,Clinton +4,2016-11-03,2016-11-06
Economist/YouGovYouGov,11/4 - 11/7,3669 LV,--,49.0,45.0,Clinton +4,2016-11-04,2016-11-07
IBD/TIPP TrackingIBD/TIPP Tracking,11/4 - 11/7,1107 LV,3.1,43.0,42.0,Clinton +1,2016-11-04,2016-11-07
BloombergBloomberg,11/4 - 11/6,799 LV,3.5,46.0,43.0,Clinton +3,2016-11-04,2016-11-06
