Poll,Date,Sample,MoE,Obama (D),Romney (R),Spread,Date_start,Date_end
BloombergBloomberg,6/15 - 6/18,734 LV,3.6,53.0,40.0,Obama +13,2012-06-15,2012-06-18
Rasmussen ReportsRasmussen Reports,6/18 - 6/20,1500 LV,3.0,43.0,47.0,Romney +4,2012-06-18,2012-06-20
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,6/20 - 6/24,819 RV,3.4,47.0,44.0,Obama +3,2012-06-20,2012-06-24
Democracy Corps (D)Democracy Corps (D),6/23 - 6/27,1000 LV,3.1,49.0,46.0,Obama +3,2012-06-23,2012-06-27
FOX NewsFOX News,6/24 - 6/26,912 RV,3.0,45.0,40.0,Obama +5,2012-06-24,2012-06-26
Newsweek/Daily BeastNewsweek/Daily Beast,6/28 - 6/28,600 LV,4.0,47.0,44.0,Obama +3,2012-06-28,2012-06-28
CNN/Opinion ResearchCNN/Opinion Research,6/28 - 7/1,1390 RV,2.5,49.0,46.0,Obama +3,2012-06-28,2012-07-01
Pew ResearchPew Research,6/28 - 7/9,2373 RV,2.3,50.0,43.0,Obama +7,2012-06-28,2012-07-09
GallupGallup,7/1 - 7/8,3050 RV,2.0,47.0,45.0,Obama +2,2012-07-01,2012-07-08
QuinnipiacQuinnipiac,7/1 - 7/8,2722 RV,1.9,46.0,43.0,Obama +3,2012-07-01,2012-07-08
Rasmussen ReportsRasmussen Reports,7/2 - 7/6,1500 LV,3.0,45.0,45.0,Tie,2012-07-02,2012-07-06
Reuters/IpsosReuters/Ipsos,7/5 - 7/9,885 RV,3.4,49.0,43.0,Obama +6,2012-07-05,2012-07-09
ABC News/Wash PostABC News/Wash Post,7/5 - 7/8,RV,4.0,47.0,47.0,Tie,2012-07-05,2012-07-08
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,7/6 - 7/8,800 LV,3.5,42.0,43.0,Romney +1,2012-07-06,2012-07-08
GallupGallup,7/8 - 7/14,3050 RV,2.0,47.0,45.0,Obama +2,2012-07-08,2012-07-14
McClatchy/MaristMcClatchy/Marist,7/9 - 7/11,849 RV,3.5,48.0,46.0,Obama +2,2012-07-09,2012-07-11
NPRNPR,7/9 - 7/12,1000 LV,3.1,47.0,45.0,Obama +2,2012-07-09,2012-07-12
CBS News/NY TimesCBS News/NY Times,7/11 - 7/16,942 RV,3.0,46.0,47.0,Romney +1,2012-07-11,2012-07-16
Rasmussen ReportsRasmussen Reports,7/12 - 7/14,1500 LV,3.0,45.0,45.0,Tie,2012-07-12,2012-07-14
FOX NewsFOX News,7/15 - 7/17,901 RV,3.0,45.0,41.0,Obama +4,2012-07-15,2012-07-17
Pew ResearchPew Research,7/16 - 7/26,1956 RV,3.2,51.0,41.0,Obama +10,2012-07-16,2012-07-26
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,7/18 - 7/22,1000 RV,3.1,49.0,43.0,Obama +6,2012-07-18,2012-07-22
Democracy Corps (D)Democracy Corps (D),7/21 - 7/25,700 LV,3.7,50.0,46.0,Obama +4,2012-07-21,2012-07-25
GallupGallup,7/24 - 7/31,3050 RV,2.0,47.0,45.0,Obama +2,2012-07-24,2012-07-31
Rasmussen ReportsRasmussen Reports,7/29 - 7/31,1500 LV,3.0,44.0,47.0,Romney +3,2012-07-29,2012-07-31
Reuters/IpsosReuters/Ipsos,8/2 - 8/6,1014 RV,3.4,49.0,42.0,Obama +7,2012-08-02,2012-08-06
IBD/CSM/TIPPIBD/CSM/TIPP,8/3 - 8/10,828 RV,3.5,46.0,39.0,Obama +7,2012-08-03,2012-08-10
FOX NewsFOX News,8/5 - 8/7,930 RV,3.0,49.0,40.0,Obama +9,2012-08-05,2012-08-07
Politico/GWU/BattlegroundPolitico/GWU/Battleground,8/5 - 8/9,1000 LV,3.1,48.0,47.0,Obama +1,2012-08-05,2012-08-09
GallupGallup,8/6 - 8/12,3050 RV,2.0,46.0,46.0,Tie,2012-08-06,2012-08-12
CNN/Opinion ResearchCNN/Opinion Research,8/7 - 8/8,911 RV,3.5,52.0,45.0,Obama +7,2012-08-07,2012-08-08
Rasmussen ReportsRasmussen Reports,8/8 - 8/10,1500 LV,3.0,44.0,46.0,Romney +2,2012-08-08,2012-08-10
LA Times/USCLA Times/USC,8/13 - 8/19,954 LV,3.2,48.0,46.0,Obama +2,2012-08-13,2012-08-19
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,8/15 - 8/19,1149 LV,2.9,46.0,45.0,Obama +1,2012-08-15,2012-08-19
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,8/16 - 8/20,1000 RV,3.1,48.0,44.0,Obama +4,2012-08-16,2012-08-20
Associated Press/GfKAssociated Press/GfK,8/16 - 8/20,885 RV,4.1,47.0,46.0,Obama +1,2012-08-16,2012-08-20
Resurgent Republic (R)Resurgent Republic (R),8/16 - 8/22,1000 LV,3.1,46.0,45.0,Obama +1,2012-08-16,2012-08-22
FOX NewsFOX News,8/19 - 8/21,1007 LV,3.0,44.0,45.0,Romney +1,2012-08-19,2012-08-21
Gallup TrackingGallup Tracking,8/21 - 8/27,3050 RV,2.0,46.0,47.0,Romney +1,2012-08-21,2012-08-27
CNN/Opinion ResearchCNN/Opinion Research,8/22 - 8/23,719 LV,3.5,49.0,47.0,Obama +2,2012-08-22,2012-08-23
ABC News/Wash PostABC News/Wash Post,8/22 - 8/25,857 RV,4.0,46.0,47.0,Romney +1,2012-08-22,2012-08-25
CBS NewsCBS News,8/22 - 8/26,1051 RV,3.0,46.0,45.0,Obama +1,2012-08-22,2012-08-26
Rasmussen TrackingRasmussen Tracking,8/23 - 8/25,1500 LV,3.0,47.0,45.0,Obama +2,2012-08-23,2012-08-25
Democracy Corps (D)Democracy Corps (D),8/23 - 8/27,1000 LV,3.1,49.0,47.0,Obama +2,2012-08-23,2012-08-27
CNN/Opinion ResearchCNN/Opinion Research,8/31 - 9/3,735 LV,3.5,48.0,48.0,Tie,2012-08-31,2012-09-03
IBD/CSM/TIPPIBD/CSM/TIPP,9/4 - 9/9,808 RV,3.5,46.0,44.0,Obama +2,2012-09-04,2012-09-09
Gallup TrackingGallup Tracking,9/5 - 9/11,3050 RV,2.0,50.0,43.0,Obama +7,2012-09-05,2012-09-11
Esquire/Yahoo! NewsEsquire/Yahoo! News,9/7 - 9/10,724 LV,5.0,50.0,46.0,Obama +4,2012-09-07,2012-09-10
Rasmussen TrackingRasmussen Tracking,9/7 - 9/9,1500 LV,3.0,50.0,45.0,Obama +5,2012-09-07,2012-09-09
ABC News/Wash PostABC News/Wash Post,9/7 - 9/9,710 LV,4.5,49.0,48.0,Obama +1,2012-09-07,2012-09-09
CNN/Opinion ResearchCNN/Opinion Research,9/7 - 9/9,709 LV,3.5,52.0,46.0,Obama +6,2012-09-07,2012-09-09
Reuters/IpsosReuters/Ipsos,9/7 - 9/10,873 LV,3.4,48.0,45.0,Obama +3,2012-09-07,2012-09-10
Democracy Corps (D)Democracy Corps (D),9/8 - 9/12,1000 LV,3.1,50.0,45.0,Obama +5,2012-09-08,2012-09-12
CBS News/NY TimesCBS News/NY Times,9/8 - 9/12,1162 LV,3.0,49.0,46.0,Obama +3,2012-09-08,2012-09-12
FOX NewsFOX News,9/9 - 9/11,1056 LV,3.0,48.0,43.0,Obama +5,2012-09-09,2012-09-11
Gallup TrackingGallup Tracking,9/11 - 9/17,3050 RV,2.0,47.0,46.0,Obama +1,2012-09-11,2012-09-17
Hartford Courant/UConnHartford Courant/UConn,9/11 - 9/18,1186 LV,3.0,46.0,43.0,Obama +3,2012-09-11,2012-09-18
Pew Research/PSRAIPew Research/PSRAI,9/12 - 9/16,2268 LV,2.4,51.0,43.0,Obama +8,2012-09-12,2012-09-16
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/12 - 9/16,736 LV,3.6,50.0,45.0,Obama +5,2012-09-12,2012-09-16
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,9/13 - 9/16,1344 LV,2.7,48.0,45.0,Obama +3,2012-09-13,2012-09-16
Reason-Rupe/PSRAIReason-Rupe/PSRAI,9/13 - 9/17,787 LV,4.3,52.0,45.0,Obama +7,2012-09-13,2012-09-17
Associated Press/GfKAssociated Press/GfK,9/13 - 9/17,807 LV,4.3,47.0,46.0,Obama +1,2012-09-13,2012-09-17
Rasmussen TrackingRasmussen Tracking,9/14 - 9/16,1500 LV,3.0,45.0,47.0,Romney +2,2012-09-14,2012-09-16
National JournalNational Journal,9/15 - 9/19,1055 LV,3.0,50.0,43.0,Obama +7,2012-09-15,2012-09-19
Politico/GWU/BattlegroundPolitico/GWU/Battleground,9/16 - 9/20,1000 LV,3.1,50.0,47.0,Obama +3,2012-09-16,2012-09-20
BloombergBloomberg,9/21 - 9/24,789 LV,3.5,49.0,43.0,Obama +6,2012-09-21,2012-09-24
FOX NewsFOX News,9/24 - 9/26,1092 LV,3.0,48.0,43.0,Obama +5,2012-09-24,2012-09-26
Politico/GWU/BattlegroundPolitico/GWU/Battleground,9/24 - 9/27,1000 LV,3.1,49.0,47.0,Obama +2,2012-09-24,2012-09-27
QuinnipiacQuinnipiac,9/25 - 9/30,1912 LV,2.2,49.0,45.0,Obama +4,2012-09-25,2012-09-30
ABC News/Wash PostABC News/Wash Post,9/26 - 9/29,813 LV,4.0,49.0,47.0,Obama +2,2012-09-26,2012-09-29
NPRNPR,9/26 - 9/30,800 LV,4.0,51.0,44.0,Obama +7,2012-09-26,2012-09-30
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/26 - 9/30,832 LV,3.4,49.0,46.0,Obama +3,2012-09-26,2012-09-30
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,9/27 - 9/29,800 LV,3.5,50.0,41.0,Obama +9,2012-09-27,2012-09-29
National JournalNational Journal,9/27 - 9/30,789 LV,4.2,47.0,47.0,Tie,2012-09-27,2012-09-30
Gallup TrackingGallup Tracking,9/27 - 10/3,3050 RV,2.0,49.0,45.0,Obama +4,2012-09-27,2012-10-03
CNN/Opinion ResearchCNN/Opinion Research,9/28 - 9/30,783 LV,3.5,50.0,47.0,Obama +3,2012-09-28,2012-09-30
Rasmussen TrackingRasmussen Tracking,10/1 - 10/3,1500 LV,3.0,49.0,47.0,Obama +2,2012-10-01,2012-10-03
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/1 - 10/4,1000 LV,3.1,49.0,48.0,Obama +1,2012-10-01,2012-10-04
Gallup TrackingGallup Tracking,10/4 - 10/10,3050 RV,2.0,48.0,46.0,Obama +2,2012-10-04,2012-10-10
Gallup TrackingGallup Tracking,10/4 - 10/10,2700 LV,2.0,47.0,48.0,Romney +1,2012-10-04,2012-10-10
Rasmussen TrackingRasmussen Tracking,10/4 - 10/6,1500 LV,3.0,47.0,49.0,Romney +2,2012-10-04,2012-10-06
Pew ResearchPew Research,10/4 - 10/7,1112 LV,3.4,45.0,49.0,Romney +4,2012-10-04,2012-10-07
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,10/5 - 10/7,800 LV,3.5,45.0,45.0,Tie,2012-10-05,2012-10-07
FOX NewsFOX News,10/7 - 10/9,1109 LV,3.0,45.0,46.0,Romney +1,2012-10-07,2012-10-09
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/7 - 10/11,1000 LV,3.1,49.0,48.0,Obama +1,2012-10-07,2012-10-11
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,10/8 - 10/10,1360 LV,2.7,46.0,47.0,Romney +1,2012-10-08,2012-10-10
ABC News/Wash PostABC News/Wash Post,10/10 - 10/13,923 LV,3.5,49.0,46.0,Obama +3,2012-10-10,2012-10-13
Hartford Courant/UConnHartford Courant/UConn,10/11 - 10/16,1023 LV,3.0,48.0,45.0,Obama +3,2012-10-11,2012-10-16
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/15 - 10/18,1000 LV,3.1,47.0,49.0,Romney +2,2012-10-15,2012-10-18
CBS NewsCBS News,10/17 - 10/20,790 LV,4.0,48.0,46.0,Obama +2,2012-10-17,2012-10-20
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/17 - 10/20,816 LV,3.4,47.0,47.0,Tie,2012-10-17,2012-10-20
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,10/18 - 10/20,800 LV,3.5,50.0,47.0,Obama +3,2012-10-18,2012-10-20
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,10/18 - 10/21,1402 LV,2.6,45.0,48.0,Romney +3,2012-10-18,2012-10-21
Associated Press/GfKAssociated Press/GfK,10/19 - 10/23,839 LV,4.2,45.0,47.0,Romney +2,2012-10-19,2012-10-23
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/22 - 10/25,1000 LV,3.1,49.0,48.0,Obama +1,2012-10-22,2012-10-25
IBD/TIPPIBD/TIPP,10/22 - 10/27,930 LV,3.5,45.0,44.0,Obama +1,2012-10-22,2012-10-27
NPRNPR,10/23 - 10/25,1000 LV,3.1,47.0,48.0,Romney +1,2012-10-23,2012-10-25
Pew ResearchPew Research,10/24 - 10/28,1495 LV,2.9,47.0,47.0,Tie,2012-10-24,2012-10-28
National JournalNational Journal,10/25 - 10/28,713 LV,4.4,50.0,45.0,Obama +5,2012-10-25,2012-10-28
CBS News/NY TimesCBS News/NY Times,10/25 - 10/28,563 LV,4.0,48.0,47.0,Obama +1,2012-10-25,2012-10-28
FOX NewsFOX News,10/28 - 10/30,1128 LV,3.0,46.0,46.0,Tie,2012-10-28,2012-10-30
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/29 - 11/1,1000 LV,3.1,48.0,48.0,Tie,2012-10-29,2012-11-01
Pew ResearchPew Research,10/31 - 11/3,2709 LV,2.2,50.0,47.0,Obama +3,2012-10-31,2012-11-03
RCP Average,10/31 - 11/5,--,--,48.8,48.1,Obama +0.7,2012-10-31,2012-11-05
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,11/1 - 11/4,1417 LV,2.6,48.0,48.0,Tie,2012-11-01,2012-11-04
ABC News/Wash PostABC News/Wash Post,11/1 - 11/4,2345 LV,2.5,50.0,47.0,Obama +3,2012-11-01,2012-11-04
GallupGallup,11/1 - 11/4,2700 LV,2.0,49.0,50.0,Romney +1,2012-11-01,2012-11-04
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,11/1 - 11/3,1475 LV,2.6,48.0,47.0,Obama +1,2012-11-01,2012-11-03
CNN/Opinion ResearchCNN/Opinion Research,11/2 - 11/4,693 LV,3.5,49.0,49.0,Tie,2012-11-02,2012-11-04
IBD/TIPPIBD/TIPP,11/3 - 11/5,712 LV,3.7,50.0,49.0,Obama +1,2012-11-03,2012-11-05
Rasmussen ReportsRasmussen Reports,11/3 - 11/5,1500 LV,3.0,48.0,49.0,Romney +1,2012-11-03,2012-11-05
Politico/GWU/BattlegroundPolitico/GWU/Battleground,11/4 - 11/5,1000 LV,3.1,47.0,47.0,Tie,2012-11-04,2012-11-05
