,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
280,PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,53.0,41.0,Biden +12
281,PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,53.0,39.0,Biden +14
282,PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,56.0,39.0,Biden +17
283,PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,51.0,42.0,Biden +9
284,CNNCNN,1/14 - 1/18,918 RV,3.8,57.0,40.0,Biden +17
285,PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,54.0,40.0,Biden +14
286,PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,56.0,38.0,Biden +18
287,EmersonEmerson,10/12 - 10/14,820 RV,3.4,51.0,42.0,Biden +9
288,PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,53.0,40.0,Biden +13
289,PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,51.0,39.0,Biden +12
290,PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,54.0,39.0,Biden +15
291,PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,54.0,41.0,Biden +13
292,PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,54.0,40.0,Biden +14
293,PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,54.0,40.0,Biden +14
294,PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,54.0,40.0,Biden +14
