Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,Date_start,Date_end
JTN/RMG Research*JTN/RMG*,9/17 - 9/19,773 LV,2.8,50.0,44.0,Biden +6,2020-09-17,2020-09-19
QuinnipiacQuinnipiac,9/17 - 9/21,1302 LV,2.7,52.0,42.0,Biden +10,2020-09-17,2020-09-21
Reuters/IpsosReuters,9/18 - 9/22,889 LV,3.7,50.0,42.0,Biden +8,2020-09-18,2020-09-22
CNBC/Change Research (D)*CNBC*,9/18 - 9/20,1430 LV,2.6,51.0,42.0,Biden +9,2020-09-18,2020-09-20
The Hill/HarrisXThe Hill,9/19 - 9/21,2803 RV,1.9,45.0,40.0,Biden +5,2020-09-19,2020-09-21
Economist/YouGovYouGov,9/20 - 9/22,1124 LV,3.6,49.0,42.0,Biden +7,2020-09-20,2020-09-22
ABC News/Wash PostABC/WP,9/21 - 9/24,739 LV,4.0,54.0,44.0,Biden +10,2020-09-21,2020-09-24
The Hill/HarrisXThe Hill,9/22 - 9/25,2768 RV,1.9,45.0,40.0,Biden +5,2020-09-22,2020-09-25
EmersonEmerson,9/22 - 9/23,1000 LV,3.0,48.0,44.0,Biden +4,2020-09-22,2020-09-23
Harvard-HarrisHarris,9/22 - 9/24,LV,--,47.0,45.0,Biden +2,2020-09-22,2020-09-24
NY Times/SienaNYT/Siena,9/22 - 9/24,950 LV,3.5,49.0,41.0,Biden +8,2020-09-22,2020-09-24
Rasmussen ReportsRasmussen,9/23 - 9/29,3000 LV,2.0,51.0,43.0,Biden +8,2020-09-23,2020-09-29
JTN/RMG Research*JTN/RMG*,9/24 - 9/26,752 LV,3.6,51.0,45.0,Biden +6,2020-09-24,2020-09-26
Monmouth*Monmouth*,9/24 - 9/27,809 LV,3.5,50.0,45.0,Biden +5,2020-09-24,2020-09-27
Reuters/IpsosReuters,9/25 - 9/29,864 LV,3.8,51.0,42.0,Biden +9,2020-09-25,2020-09-29
Economist/YouGovYouGov,9/27 - 9/30,1350 LV,4.0,50.0,42.0,Biden +8,2020-09-27,2020-09-30
CNBC/Change Research (D)CNBC,9/29 - 9/30,925 LV,3.2,54.0,41.0,Biden +13,2020-09-29,2020-09-30
IBD/TIPPIBD/TIPP,9/30 - 10/1,1030 LV,3.5,49.0,46.0,Biden +3,2020-09-30,2020-10-01
NBC News/Wall St. JrnlNBC/WSJ,9/30 - 10/1,800 RV,3.5,53.0,39.0,Biden +14,2020-09-30,2020-10-01
The Hill/HarrisXThe Hill,9/30 - 10/1,928 RV,3.2,47.0,40.0,Biden +7,2020-09-30,2020-10-01
Rasmussen ReportsRasmussen,9/30 - 10/6,2500 LV,2.0,52.0,40.0,Biden +12,2020-09-30,2020-10-06
SurveyUSASUSA,10/1 - 10/4,1114 LV,3.6,53.0,43.0,Biden +10,2020-10-01,2020-10-04
CNNCNN,10/1 - 10/4,1001 LV,3.6,57.0,41.0,Biden +16,2020-10-01,2020-10-04
JTN/RMG Research*JTN/RMG*,10/1 - 10/3,763 LV,3.5,51.0,43.0,Biden +8,2020-10-01,2020-10-03
CNBC/Change Research (D)*CNBC*,10/2 - 10/4,2167 LV,2.1,52.0,42.0,Biden +10,2020-10-02,2020-10-04
Reuters/IpsosReuters,10/2 - 10/6,882 LV,3.8,52.0,40.0,Biden +12,2020-10-02,2020-10-06
FOX NewsFOX News,10/3 - 10/6,1012 LV,3.0,53.0,43.0,Biden +10,2020-10-03,2020-10-06
The Hill/HarrisXThe Hill,10/3 - 10/6,2841 RV,1.8,45.0,40.0,Biden +5,2020-10-03,2020-10-06
Economist/YouGovYouGov,10/4 - 10/6,1364 LV,4.8,51.0,42.0,Biden +9,2020-10-04,2020-10-06
ABC News/Wash PostABC/WP,10/6 - 10/9,725 LV,4.0,55.0,43.0,Biden +12,2020-10-06,2020-10-09
Rasmussen ReportsRasmussen,10/7 - 10/13,2500 LV,2.0,50.0,45.0,Biden +5,2020-10-07,2020-10-13
JTN/RMG Research*JTN/RMG*,10/8 - 10/10,1240 LV,2.8,51.0,43.0,Biden +8,2020-10-08,2020-10-10
NPR/PBS/MaristNPR/PBS,10/8 - 10/13,819 LV,3.9,54.0,43.0,Biden +11,2020-10-08,2020-10-13
NBC News/Wall St. JrnlNBC/WSJ,10/9 - 10/12,1000 RV,3.1,53.0,42.0,Biden +11,2020-10-09,2020-10-12
Reuters/IpsosReuters,10/9 - 10/13,882 LV,3.8,51.0,41.0,Biden +10,2020-10-09,2020-10-13
The Hill/HarrisXThe Hill,10/10 - 10/13,2855 RV,1.8,47.0,40.0,Biden +7,2020-10-10,2020-10-13
Economist/YouGovYouGov,10/11 - 10/13,1333 LV,4.3,52.0,42.0,Biden +10,2020-10-11,2020-10-13
IBD/TIPPIBD/TIPP,10/11 - 10/15,951 LV,3.2,49.0,43.0,Biden +6,2020-10-11,2020-10-15
The Hill/HarrisXThe Hill,10/13 - 10/15,1897 RV,2.3,46.0,42.0,Biden +4,2020-10-13,2020-10-15
Rasmussen ReportsRasmussen,10/14 - 10/20,2500 LV,2.0,49.0,46.0,Biden +3,2020-10-14,2020-10-20
NY Times/Siena*NYT/Siena*,10/15 - 10/18,987 LV,3.4,50.0,41.0,Biden +9,2020-10-15,2020-10-18
JTN/RMG Research*JTN/RMG*,10/15 - 10/17,1265 LV,2.8,51.0,43.0,Biden +8,2020-10-15,2020-10-17
SurveyUSASUSA,10/16 - 10/19,1136 LV,3.6,53.0,43.0,Biden +10,2020-10-16,2020-10-19
QuinnipiacQuinnipiac,10/16 - 10/19,1426 LV,2.6,51.0,41.0,Biden +10,2020-10-16,2020-10-19
Reuters/IpsosReuters,10/16 - 10/20,949 LV,3.6,51.0,42.0,Biden +9,2020-10-16,2020-10-20
CNBC/Change Research (D)*CNBC*,10/17 - 10/18,2711 LV,1.9,52.0,42.0,Biden +10,2020-10-17,2020-10-18
Economist/YouGovYouGov,10/18 - 10/20,1344 LV,3.2,52.0,43.0,Biden +9,2020-10-18,2020-10-20
USC DornsifeUSC,10/20 - 11/2,5423 LV,--,54.0,43.0,Biden +11,2020-10-20,2020-11-02
CNBCCNBC,10/21 - 10/24,800 RV,3.5,51.0,40.0,Biden +11,2020-10-21,2020-10-24
Reuters/IpsosReuters,10/23 - 10/27,825 LV,3.9,52.0,42.0,Biden +10,2020-10-23,2020-10-27
CNNCNN,10/23 - 10/26,886 LV,3.8,54.0,42.0,Biden +12,2020-10-23,2020-10-26
USA Today/SuffolkUSA Today,10/23 - 10/27,1000 LV,3.1,52.0,44.0,Biden +8,2020-10-23,2020-10-27
JTN/RMG Research*JTN/RMG*,10/23 - 10/24,1842 LV,2.8,51.0,44.0,Biden +7,2020-10-23,2020-10-24
RCP Average,10/25 - 11/2,--,--,51.2,44.0,Biden +7.2,2020-10-25,2020-11-02
The Hill/HarrisXThe Hill,10/25 - 10/28,2359 LV,2.0,49.0,45.0,Biden +4,2020-10-25,2020-10-28
EmersonEmerson,10/25 - 10/26,1121 LV,2.8,50.0,45.0,Biden +5,2020-10-25,2020-10-26
Economist/YouGovYouGov,10/25 - 10/27,1365 LV,3.2,54.0,43.0,Biden +11,2020-10-25,2020-10-27
FOX NewsFOX News,10/27 - 10/29,1246 LV,2.5,52.0,44.0,Biden +8,2020-10-27,2020-10-29
Harvard-HarrisHarris,10/27 - 10/28,LV,--,54.0,46.0,Biden +8,2020-10-27,2020-10-28
QuinnipiacQuinnipiac,10/28 - 11/1,1516 LV,2.5,50.0,39.0,Biden +11,2020-10-28,2020-11-01
Rasmussen ReportsRasmussen,10/28 - 11/1,1500 LV,2.5,48.0,47.0,Biden +1,2020-10-28,2020-11-01
SurveyUSASUSA,10/29 - 10/31,1265 LV,3.2,52.0,44.0,Biden +8,2020-10-29,2020-10-31
NBC News/Wall St. JrnlNBC/WSJ,10/29 - 10/31,1000 RV,3.4,52.0,42.0,Biden +10,2020-10-29,2020-10-31
CNBC/Change Research (D)CNBC,10/29 - 11/1,1880 LV,2.3,52.0,42.0,Biden +10,2020-10-29,2020-11-01
Reuters/IpsosReuters,10/29 - 11/2,914 LV,3.7,52.0,45.0,Biden +7,2020-10-29,2020-11-02
IBD/TIPP*IBD/TIPP*,10/29 - 11/2,1212 LV,3.2,50.0,46.0,Biden +4,2020-10-29,2020-11-02
JTN/RMG Research*JTN/RMG*,10/29 - 10/31,1200 LV,2.8,51.0,44.0,Biden +7,2020-10-29,2020-10-31
Economist/YouGovYouGov,10/31 - 11/2,1363 LV,3.3,53.0,43.0,Biden +10,2020-10-31,2020-11-02
